n_Number of Simulations, α_Mining Power, γ_Ratio of honest miners who choose to mine on the pools block, APPL_theo, r_Revenue ratio for Selfish Miners, s_Total Selfish Blocks Mined, h_Total Honest Blocks Mined, s_Selfish Orphan Blocks Count, h_Honest Orphan Blocks Count, Selfish Orphan / Honest Orphan, l_Length of Chain, APPL_profit
200000, 0.01, 0.01, 0.0004921088178330795, 0.0004494472808439509, 89, 197932, 1923, 55, 197932.0, -197843, 0.0
200000, 0.01, 0.02, 0.0005891483237539666, 0.0005959144509254349, 118, 197897, 1906, 78, 197897.0, -197779, 0.1
200000, 0.01, 0.03, 0.0006861878296748539, 0.0007420869301832501, 147, 197943, 1804, 105, 197943.0, -197796, 0.1
200000, 0.01, 0.04, 0.0007832273355957409, 0.0008683579452227691, 172, 197903, 1791, 133, 197903.0, -197731, 0.1
200000, 0.01, 0.05, 0.0008802668415166281, 0.000984962899730777, 195, 197782, 1869, 153, 197782.0, -197587, 0.1
200000, 0.01, 0.06, 0.0009773063474375152, 0.0009544538655381554, 189, 197830, 1824, 156, 197830.0, -197641, 0.1
200000, 0.01, 0.07, 0.0010743458533584024, 0.0011160319760835863, 221, 197802, 1800, 176, 197802.0, -197581, 0.1
200000, 0.01, 0.08, 0.0011713853592792895, 0.0012723995334535045, 252, 197799, 1744, 204, 197799.0, -197547, 0.1
200000, 0.01, 0.09, 0.0012684248652001767, 0.0011964621069849154, 237, 197847, 1716, 199, 197847.0, -197610, 0.1
200000, 0.01, 0.1, 0.0013654643711210638, 0.0013029184362958737, 258, 197759, 1759, 223, 197759.0, -197501, 0.1
200000, 0.01, 0.11, 0.0014625038770419508, 0.0015906600481742758, 315, 197716, 1698, 270, 197716.0, -197401, 0.2
200000, 0.01, 0.12, 0.001559543382962838, 0.0016358266225733977, 324, 197741, 1654, 280, 197741.0, -197417, 0.2
200000, 0.01, 0.13, 0.0016565828888837255, 0.0015703660316193958, 311, 197732, 1681, 275, 197732.0, -197421, 0.2
200000, 0.01, 0.14, 0.0017536223948046127, 0.001762537245593657, 349, 197661, 1675, 314, 197661.0, -197312, 0.2
200000, 0.01, 0.15, 0.0018506619007254996, 0.0018083639357677212, 358, 197611, 1701, 329, 197611.0, -197253, 0.2
200000, 0.01, 0.16, 0.0019477014066463867, 0.0019845778605947673, 393, 197634, 1622, 350, 197634.0, -197241, 0.2
200000, 0.01, 0.17, 0.0020447409125672737, 0.0019588836382729512, 388, 197684, 1570, 357, 197683.99999999997, -197296, 0.2
200000, 0.01, 0.18, 0.0021417804184881606, 0.0021209014841260623, 420, 197609, 1592, 378, 197609.0, -197189, 0.2
200000, 0.01, 0.19, 0.002238819924409048, 0.002068847197973539, 410, 197768, 1449, 372, 197767.99999999997, -197358, 0.2
200000, 0.01, 0.2, 0.0023358594303299353, 0.0023480697856439517, 465, 197570, 1533, 431, 197570.0, -197105, 0.2
200000, 0.01, 0.21, 0.002432898936250822, 0.002352216686604984, 466, 197645, 1457, 431, 197645.0, -197179, 0.2
200000, 0.01, 0.22, 0.002529938442171709, 0.0028137565923740627, 557, 197399, 1535, 508, 197399.0, -196842, 0.3
200000, 0.01, 0.23, 0.0026269779480925966, 0.002712025332437742, 537, 197470, 1502, 490, 197470.0, -196933, 0.3
200000, 0.01, 0.24, 0.0027240174540134835, 0.002513983401651758, 498, 197594, 1442, 465, 197594.0, -197096, 0.3
200000, 0.01, 0.25, 0.0028210569599343704, 0.0028130886905753955, 557, 197446, 1471, 525, 197446.0, -196889, 0.3
200000, 0.01, 0.26, 0.002918096465855258, 0.003146512320893751, 623, 197374, 1422, 580, 197374.0, -196751, 0.3
200000, 0.01, 0.27, 0.0030151359717761447, 0.0029584603889416185, 586, 197490, 1380, 543, 197490.0, -196904, 0.3
200000, 0.01, 0.28, 0.003112175477697032, 0.0032113589198523584, 636, 197411, 1353, 599, 197411.0, -196775, 0.3
200000, 0.01, 0.29, 0.0032092149836179186, 0.0030691260057949944, 608, 197494, 1324, 573, 197494.0, -196886, 0.3
200000, 0.01, 0.3, 0.003306254489538806, 0.0029075490270311197, 576, 197529, 1349, 545, 197529.0, -196953, 0.3
200000, 0.01, 0.31, 0.0034032939954596934, 0.00322569246379299, 639, 197458, 1307, 595, 197458.0, -196819, 0.3
200000, 0.01, 0.32, 0.0035003335013805803, 0.003555340080399168, 704, 197308, 1323, 664, 197308.0, -196604, 0.4
200000, 0.01, 0.33, 0.0035973730073014677, 0.0036103452802940792, 715, 197327, 1290, 667, 197327.0, -196612, 0.4
200000, 0.01, 0.34, 0.0036944125132223546, 0.0037323043823010993, 739, 197262, 1299, 699, 197262.0, -196523, 0.4
200000, 0.01, 0.35, 0.0037914520191432415, 0.0036909684879147292, 731, 197320, 1252, 696, 197320.0, -196589, 0.4
200000, 0.01, 0.36, 0.0038884915250641285, 0.0037366943384031185, 740, 197296, 1257, 706, 197296.0, -196556, 0.4
200000, 0.01, 0.37, 0.003985531030985015, 0.003725635705523331, 738, 197349, 1214, 698, 197349.0, -196611, 0.4
200000, 0.01, 0.38, 0.004082570536905903, 0.0041805513480763406, 828, 197232, 1141, 798, 197231.99999999997, -196404, 0.4
200000, 0.01, 0.39, 0.00417961004282679, 0.0038922488212190663, 771, 197315, 1180, 733, 197315.0, -196544, 0.4
200000, 0.01, 0.4, 0.004276649548747678, 0.004256995258222364, 843, 197184, 1162, 810, 197184.0, -196341, 0.4
200000, 0.01, 0.41, 0.004373689054668564, 0.004139908720061392, 820, 197252, 1144, 783, 197252.0, -196432, 0.4
200000, 0.01, 0.42, 0.004470728560589452, 0.0045199280851665555, 895, 197117, 1126, 861, 197117.0, -196222, 0.5
200000, 0.01, 0.43, 0.004567768066510339, 0.004640078361279834, 919, 197138, 1060, 882, 197138.0, -196219, 0.5
200000, 0.01, 0.44, 0.004664807572431226, 0.004827648894589599, 956, 197070, 1059, 914, 197070.0, -196114, 0.5
200000, 0.01, 0.45, 0.004761847078352113, 0.004918272848003151, 974, 197063, 1027, 935, 197063.0, -196089, 0.5
200000, 0.01, 0.46, 0.004858886584273, 0.004893000333269373, 969, 197069, 1036, 925, 197069.0, -196100, 0.5
200000, 0.01, 0.47, 0.0049559260901938865, 0.004791138665347294, 949, 197125, 1022, 903, 197125.0, -196176, 0.5
200000, 0.01, 0.48, 0.005052965596114774, 0.005174885900076739, 1025, 197047, 944, 983, 197047.0, -196022, 0.5
200000, 0.01, 0.49, 0.005150005102035661, 0.005139078196779241, 1018, 197072, 934, 975, 197072.0, -196054, 0.5
200000, 0.01, 0.5, 0.00524704460795655, 0.005129499671833191, 1016, 197054, 954, 975, 197054.0, -196038, 0.5
200000, 0.02, 0.01, 0.0017494105440315029, 0.0019517514803754701, 383, 195851, 3548, 217, 195851.0, -195468, 0.2
200000, 0.02, 0.02, 0.0019377227310234393, 0.0021774937913379604, 427, 195670, 3652, 250, 195669.99999999997, -195243, 0.2
