n_Number of Simulations, α_Mining Power, γ_Ratio of honest miners who choose to mine on the pools block, APPL_theo, r_Revenue ratio for Selfish Miners, s_Total Selfish Blocks Mined, h_Total Honest Blocks Mined, s_Selfish Orphan Blocks Count, h_Honest Orphan Blocks Count, Selfish Orphan / Honest Orphan, l_Length of Chain,  APPL_profit

2200000, 0.01, 0.01, 0.0004921088178330795, 0.00024479055108472814, 96, 392076, 1904, 57, 392075.99999999994, -391980, 0.0
200000, 0.01, 0.02, 0.0005891483237539666, 0.00028319866513926487, 111, 391840, 1947, 74, 391840.0, -391729, 0.0
200000, 0.01, 0.03, 0.0006861878296748539, 0.0003822844298100301, 150, 392228, 1813, 109, 392228.0, -392078, 0.0
200000, 0.01, 0.04, 0.0007832273355957409, 0.00043332636612509367, 170, 392144, 1819, 118, 392144.0, -391974, 0.0
200000, 0.01, 0.05, 0.0008802668415166281, 0.0005076232772056741, 199, 391824, 1867, 154, 391824.0, -391625, 0.1
200000, 0.01, 0.06, 0.0009773063474375152, 0.0005124139284812918, 201, 392060, 1802, 164, 392060.0, -391859, 0.1
200000, 0.01, 0.07, 0.0010743458533584024, 0.00044362631366929954, 174, 392048, 1829, 143, 392048.0, -391874, 0.0
200000, 0.01, 0.08, 0.0011713853592792895, 0.0006348235114153505, 249, 391986, 1779, 199, 391986.0, -391737, 0.1
200000, 0.01, 0.09, 0.0012684248652001767, 0.0006803431783492887, 267, 392182, 1713, 215, 392182.0, -391915, 0.1
200000, 0.01, 0.1, 0.0013654643711210638, 0.0007055293635208207, 277, 392336, 1661, 232, 392336.0, -392059, 0.1
200000, 0.01, 0.11, 0.0014625038770419508, 0.0007670372739342386, 301, 392118, 1691, 257, 392118.0, -391817, 0.1
200000, 0.01, 0.12, 0.001559543382962838, 0.0007618474929102319, 299, 392168, 1676, 264, 392168.0, -391869, 0.1
200000, 0.01, 0.13, 0.0016565828888837255, 0.000843352926638487, 331, 392150, 1651, 290, 392150.0, -391819, 0.1
200000, 0.01, 0.14, 0.0017536223948046127, 0.0009095564574686815, 357, 392142, 1626, 319, 392142.0, -391785, 0.1
200000, 0.01, 0.15, 0.0018506619007254996, 0.0008586665443640135, 337, 392132, 1646, 303, 392132.0, -391795, 0.1
200000, 0.01, 0.16, 0.0019477014066463867, 0.0009503693191228066, 373, 392106, 1618, 336, 392106.0, -391733, 0.1
200000, 0.01, 0.17, 0.0020447409125672737, 0.0010798585996475178, 424, 392220, 1541, 383, 392220.00000000006, -391796, 0.1
200000, 0.01, 0.18, 0.0021417804184881606, 0.001026205154452788, 403, 392306, 1541, 361, 392306.0, -391903, 0.1
200000, 0.01, 0.19, 0.002238819924409048, 0.0012777320129252411, 501, 391600, 1622, 454, 391600.0, -391099, 0.1
200000, 0.01, 0.2, 0.0023358594303299353, 0.0011391814713535362, 447, 391940, 1584, 413, 391940.0, -391493, 0.1
200000, 0.01, 0.21, 0.002432898936250822, 0.0012815841705245833, 503, 391980, 1525, 456, 391980.0, -391477, 0.1
200000, 0.01, 0.22, 0.002529938442171709, 0.001227431307137946, 482, 392208, 1485, 442, 392208.0, -391726, 0.1
200000, 0.01, 0.23, 0.0026269779480925966, 0.0013685956984807823, 537, 391836, 1523, 498, 391836.0, -391299, 0.1
200000, 0.01, 0.24, 0.0027240174540134835, 0.0013302006513396293, 522, 391900, 1522, 483, 391900.0, -391378, 0.1
