                                  url1      url2
000                           0.020939  0.000000
01973please                   0.020939  0.000000
03                            0.020939  0.000000
10                            0.020939  0.000000
11                            0.000000  0.077868
13                            0.000000  0.025956
14                            0.000000  0.025956
1469                          0.020939  0.000000
1482                          0.020939  0.000000
16                            0.000000  0.025956
1692                          0.020939  0.000000
1703                          0.020939  0.000000
1812                          0.020939  0.000000
20                            0.020939  0.000000
2008videos                    0.020939  0.000000
2009videoclef                 0.020939  0.000000
2010videoclef                 0.020939  0.000000
2011mediaeval                 0.020939  0.000000
2012mediaeval                 0.020939  0.000000
2013mediaeval                 0.020939  0.000000
2014                          0.041877  0.000000
2014mediaeval                 0.020939  0.000000
2015                          0.062816  0.000000
2015mediaeval                 0.020939  0.000000
2016mediaeval                 0.020939  0.000000
2017                          0.020939  0.000000
2017mediaeval                 0.020939  0.000000
2018                          0.188447  0.000000
2018mediaeval                 0.020939  0.000000
2019                          0.104693  0.000000
2019emotion                   0.020939  0.000000
2019runs                      0.020939  0.000000
2019test                      0.020939  0.000000
2019working                   0.020939  0.000000
2020                          0.014898  0.073872
2020camera                    0.000000  0.025956
2020notificationsfull         0.000000  0.025956
2020short                     0.000000  0.025956
2390                          0.020939  0.000000
2398                          0.020939  0.000000
24                            0.020939  0.000000
27                            0.014898  0.018468
2730                          0.020939  0.000000
2739                          0.020939  0.000000
28                            0.000000  0.025956
29                            0.041877  0.000000
30                            0.020939  0.000000
31                            0.020939  0.000000
36                            0.020939  0.000000
42nd                          0.000000  0.025956
45                            0.020939  0.000000
59pm                          0.000000  0.077868
72                            0.020939  0.000000
ability                       0.020939  0.000000
able                          0.020939  0.000000
abstracts                     0.000000  0.103824
abusepage                     0.000000  0.025956
abusethis                     0.000000  0.025956
accepted                      0.000000  0.025956
accompanied                   0.020939  0.000000
acm                           0.020939  0.000000
addition                      0.000000  0.025956
address                       0.020939  0.000000
aditya                        0.020939  0.000000
advanced                      0.000000  0.025956
advertising                   0.020939  0.000000
aesthetics                    0.041877  0.000000
affect                        0.020939  0.000000
agree                         0.000000  0.025956
akhil                         0.041877  0.000000
alameda                       0.020939  0.000000
alberto                       0.000000  0.025956
alexnet                       0.020939  0.000000
algorithms                    0.020939  0.000000
allow                         0.020939  0.000000
already                       0.020939  0.000000
also                          0.029796  0.018468
among                         0.000000  0.025956
amount                        0.014898  0.018468
analysis                      0.083754  0.000000
analyze                       0.000000  0.025956
analyzing                     0.020939  0.000000
annotating                    0.020939  0.000000
